                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2399,                 3.8851,                 2.0306,                  2.004,                 6.2429,                 1.7721,                0.16478,                0.04745,                0.03779,                0.01181,                 2.4669,                 4.3831,                 2.2782,                 2.1322,                 8.1106,                 1.9548,              0.0033205,              0.0033205,              0.0033205
                      2,                 2.2091,                 3.4175,                 2.0196,                  1.964,                 4.9938,                 1.7375,                0.17239,                0.13314,                0.07588,                0.02904,                 2.4684,                 4.1872,                 2.3198,                 2.1998,                 5.7142,                 2.0553,              0.0066318,              0.0066318,              0.0066318
                      3,                 2.3241,                 3.2959,                 2.0967,                 2.1123,                 4.1242,                 1.8293,                0.19575,                0.11737,                0.03833,                0.01459,                 2.6877,                 5.6857,                 2.6892,                   2.43,                 5.4321,                 2.3826,              0.0099212,              0.0099212,              0.0099212
                      4,                  2.385,                 3.3012,                 2.2148,                 2.2224,                 3.8985,                 1.9509,                0.11156,                0.11979,                0.06585,                0.02288,                 2.6071,                 4.5217,                 2.5322,                 2.3455,                 4.8203,                 2.2327,               0.009901,               0.009901,               0.009901
                      5,                 2.3163,                  3.149,                   2.18,                 2.1626,                 3.7462,                 1.9286,                 0.1662,                0.13501,                 0.0558,                0.01815,                 2.4526,                 3.5293,                 2.3687,                 2.2684,                 4.2153,                 2.1409,               0.009901,               0.009901,               0.009901
                      6,                 2.2928,                 3.0281,                 2.1448,                 2.1573,                 3.6332,                 1.9201,                0.18552,                0.15151,                0.07749,                0.02769,                 2.3959,                 3.3175,                 2.3482,                  2.231,                 3.9168,                 2.1176,               0.009868,               0.009868,               0.009868
                      7,                 2.2403,                 2.9917,                 2.1332,                 2.1014,                 3.5859,                  1.906,                0.22164,                0.17186,                0.09396,                0.03306,                 2.3535,                 3.3062,                 2.2934,                 2.1506,                 3.9516,                  2.058,               0.009835,               0.009835,               0.009835
                      8,                 2.2013,                 2.9102,                 2.1019,                 2.0791,                 3.4982,                 1.8919,                0.20144,                0.18818,                 0.0896,                0.03085,                 2.3196,                 3.7347,                 2.2774,                 2.1653,                 4.0395,                 2.0795,               0.009802,               0.009802,               0.009802
                      9,                 2.1939,                 2.8754,                 2.0819,                 2.0928,                 3.4405,                 1.8689,                0.25123,                0.18707,                0.12195,                0.04493,                 2.2912,                 3.0457,                 2.2776,                 2.1054,                 3.6406,                 2.0498,               0.009769,               0.009769,               0.009769
                     10,                 2.1605,                 2.8127,                 2.0707,                  2.056,                 3.3659,                 1.8518,                0.24203,                0.24217,                0.13722,                0.05259,                 2.2344,                 2.9897,                 2.1784,                 2.1179,                 3.5551,                  2.002,               0.009736,               0.009736,               0.009736
                     11,                 2.1488,                 2.7809,                 2.0335,                 2.0593,                  3.332,                 1.8349,                0.25321,                0.22886,                0.15297,                0.05691,                 2.2536,                 3.0301,                 2.1519,                 2.1144,                 3.6745,                 1.9728,               0.009703,               0.009703,               0.009703
